Host Id,Host Since,Name,Neighbourhood,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating,Hosting Duration (Years)
500,2008-06-26,Gorgeous 1 BR with Private Balcony,Manhattan,apartment,90.0,entire home/apt,10024.0,3.0,1,0,199.0,94.0,17.101369863013698
500,2008-06-26,Trendy Times Square Loft,Manhattan,apartment,95.0,private room,10036.0,3.0,1,39,549.0,96.0,17.101369863013698
1039,2008-07-25,Big Greenpoint 1BD w/ Skyline View,Brooklyn,apartment,100.0,entire home/apt,11222.0,1.0,1,4,149.0,100.0,17.02191780821918
1783,2008-08-12,Amazing Also,Manhattan,apartment,100.0,entire home/apt,10004.0,1.0,1,9,250.0,100.0,16.972602739726028
2078,2008-08-15,"Colorful, quiet, & near the subway!",Brooklyn,apartment,90.0,private room,11201.0,1.0,1,80,90.0,94.0,16.964383561643835
2339,2008-08-20,East Village Cocoon: 2 Bedroom Flat,Manhattan,apartment,90.0,entire home/apt,10009.0,2.0,1,95,270.0,90.0,16.95068493150685
2339,2008-08-20,Lovely 2 Bedroom East Village Nest,Manhattan,apartment,95.0,entire home/apt,10009.0,2.0,1,23,290.0,96.0,16.95068493150685
2571,2008-08-27,THE PUTNAM,Brooklyn,apartment,95.0,entire home/apt,11221.0,2.0,1,14,170.0,98.0,16.931506849315067
2758,2008-09-06,Stay at Chez Chic budget room #1,Manhattan,apartment,90.0,private room,10026.0,2.0,1,120,59.0,93.0,16.904109589041095
2758,2008-09-06,Stay at Chez Chic budget Room #2,Manhattan,apartment,90.0,private room,10026.0,2.0,1,81,49.0,91.0,16.904109589041095
2787,2008-09-07,Renovated and spacious townhome,Brooklyn,house,90.0,private room,11223.0,1.0,1,0,68.0,94.0,16.9013698630137
2845,2008-09-09,Midtown Castle,Manhattan,apartment,95.0,entire home/apt,10018.0,1.0,1,17,285.0,97.0,16.895890410958906
2881,2008-09-10,Newly renovated historic brownstone,Brooklyn,apartment,95.0,private room,11216.0,1.0,1,32,75.0,95.0,16.893150684931506
2965,2008-09-14,Large Bedroom in 3-bedroom Apt.,Manhattan,apartment,95.0,private room,10025.0,1.0,1,52,145.0,99.0,16.882191780821916
3211,2008-09-25,"Elegant NYC, 10mins to Manhattan!",Queens,apartment,90.0,private room,11106.0,1.0,1,3,100.0,93.0,16.852054794520548
3227,2008-09-26,"Priv Apt,Garden,BBQ,A/C,BigTV,for 4",Manhattan,apartment,85.0,entire home/apt,10001.0,3.0,1,171,150.0,85.0,16.84931506849315
3226,2008-09-26,Great 3 Bed Apt Tribeca / Soho,Manhattan,apartment,90.0,entire home/apt,10013.0,3.0,1,0,700.0,94.0,16.84931506849315
3226,2008-09-26,Huge Room Soho LOFT off WBroadway,Manhattan,apartment,85.0,private room,10013.0,1.0,1,9,125.0,86.0,16.84931506849315
3226,2008-09-26,Master Room Soho LOFT off WBroadway,Manhattan,apartment,90.0,private room,10013.0,1.0,1,0,175.0,94.0,16.84931506849315
3415,2008-10-02,Beautiful Furnished Master Bedroom,Queens,house,90.0,private room,11365.0,1.0,1,0,90.0,94.0,16.832876712328765
3563,2008-10-10,16' x 11' Furnished BR with Balcony,Brooklyn,apartment,100.0,private room,11220.0,1.0,1,1,40.0,100.0,16.81095890410959
3647,2008-10-14,Conveniently Queens with Two Rooms,Queens,apartment,90.0,entire home/apt,11373.0,1.0,1,4,89.0,93.0,16.8
3647,2008-10-14,Quality Cozy Studio Next to Subway,Queens,apartment,90.0,entire home/apt,11373.0,1.0,1,16,95.0,94.0,16.8
3647,2008-10-14,Queens Quality Convenient Apartment,Queens,apartment,100.0,entire home/apt,11373.0,2.0,1,9,99.0,100.0,16.8
3867,2008-10-29,1 Bedroom Apartment in Chinatown!,Manhattan,apartment,90.0,entire home/apt,10002.0,1.0,1,19,149.0,93.0,16.75890410958904
3867,2008-10-29,3 bedroom apartment in Chinatown!,Manhattan,apartment,80.0,entire home/apt,10038.0,4.0,1,2,499.0,80.0,16.75890410958904
3867,2008-10-29,Private bedroom in spacious loft!,Manhattan,apartment,90.0,private room,10038.0,4.0,1,0,99.0,94.0,16.75890410958904
3867,2008-10-29,Share a bedroom in a huge Apartment,Manhattan,apartment,90.0,shared room,10038.0,1.0,1,0,99.0,94.0,16.75890410958904
4177,2008-11-09,++ Brooklyn Penthouse Guestroom ++,Brooklyn,apartment,90.0,private room,11206.0,1.0,1,16,125.0,94.0,16.72876712328767
4267,2008-11-12,Robin's Nest on the fabulous UWS,Manhattan,apartment,85.0,entire home/apt,10024.0,2.0,1,28,170.0,88.0,16.720547945205478
4267,2008-11-12,Airy Room on the fabulous UWS,Manhattan,apartment,90.0,private room,10024.0,1.0,1,62,120.0,92.0,16.720547945205478
4396,2008-11-19,"Large Room, Amazing E. Village Apt",Manhattan,apartment,85.0,private room,10009.0,1.0,1,23,79.0,89.0,16.7013698630137
4488,2008-11-21,Sunny & Bright Harlem Home,Manhattan,apartment,95.0,entire home/apt,10027.0,3.0,1,6,125.0,97.0,16.695890410958903
4732,2008-12-01,A home in the heart of Park Slope,Brooklyn,apartment,90.0,entire home/apt,11217.0,1.0,1,5,110.0,92.0,16.66849315068493
4869,2008-12-07,Whole B'stone flr w priv kit & bat,Brooklyn,other,85.0,private room,11238.0,3.0,1,14,89.0,85.0,16.65205479452055
5871,2008-12-31,Bergen's Best Short Stay 2!,Brooklyn,apartment,90.0,entire home/apt,11213.0,3.0,1,12,180.0,93.0,16.586301369863012
5871,2008-12-31,Bergen's Best!,Brooklyn,apartment,95.0,entire home/apt,11213.0,3.0,1,5,180.0,95.0,16.586301369863012
5926,2009-01-02,Charming Central Park Hideaway,Manhattan,apartment,80.0,entire home/apt,10026.0,1.0,1,23,143.0,82.0,16.58082191780822
5926,2009-01-02,NYC 2-Bed Apt Mins to Times Square,Manhattan,apartment,85.0,entire home/apt,10027.0,2.0,1,28,230.0,89.0,16.58082191780822
5926,2009-01-02,Beautiful Apt with Park Views,Manhattan,apartment,85.0,entire home/apt,10030.0,5.0,1,40,350.0,86.0,16.58082191780822
5940,2009-01-02,Comfy 2BR Apt 20 mins to Midtown,Queens,apartment,85.0,entire home/apt,11368.0,2.0,1,47,135.0,86.0,16.58082191780822
5926,2009-01-02,Beautiful Room 1 with Park Views,Manhattan,apartment,85.0,private room,10027.0,1.0,1,9,85.0,87.0,16.58082191780822
5926,2009-01-02,Beautiful Room 2 with Park Views,Manhattan,apartment,90.0,private room,10027.0,1.0,1,13,85.0,91.0,16.58082191780822
5926,2009-01-02,Beautiful Room 3 with Park Views,Manhattan,apartment,90.0,private room,10027.0,1.0,1,14,85.0,92.0,16.58082191780822
5926,2009-01-02,Nice Apt Near Columbia University 2,Manhattan,apartment,80.0,private room,10031.0,1.0,1,35,60.0,81.0,16.58082191780822
5926,2009-01-02,Nice Apt Near Columbia University 3,Manhattan,apartment,80.0,private room,10031.0,2.0,1,34,70.0,82.0,16.58082191780822
5926,2009-01-02,Nice  Apt Near Columbia University,Manhattan,bed & breakfast,85.0,private room,10031.0,1.0,1,68,55.0,86.0,16.58082191780822
6041,2009-01-05,Beautiful Apt. In Astoria,Queens,apartment,100.0,private room,11105.0,1.0,1,4,44.0,100.0,16.572602739726026
7118,2009-01-26,PERFECT location! Contact me NOW!,Manhattan,apartment,85.0,entire home/apt,10036.0,1.0,1,14,200.0,87.0,16.515068493150686
7222,2009-01-29,SPACIOUS ARTY 1BR NOHO / E. VILLAGE,Manhattan,apartment,95.0,entire home/apt,10003.0,2.0,1,42,175.0,95.0,16.506849315068493
7209,2009-01-29,Next to Empire State building,Manhattan,apartment,100.0,entire home/apt,10016.0,1.0,1,9,250.0,100.0,16.506849315068493
7230,2009-01-30,"Luxury Building, big 1BR - 90th",Manhattan,apartment,95.0,entire home/apt,10128.0,2.0,1,7,165.0,96.0,16.504109589041096
7323,2009-02-02,CHEZ LEO Clinton Hill Ft. Greene,Brooklyn,apartment,85.0,entire home/apt,11238.0,1.0,1,13,115.0,88.0,16.495890410958904
7299,2009-02-02,"Downtown calm, convenience & space",Manhattan,apartment,95.0,entire home/apt,10005.0,1.0,1,16,145.0,95.0,16.495890410958904
7322,2009-02-02,Large & Cozy Midtown East 1 BR Apt,Manhattan,apartment,85.0,entire home/apt,10016.0,1.0,1,47,200.0,86.0,16.495890410958904
7351,2009-02-02,2 Floor Loft room in Artist Studio,Brooklyn,loft,80.0,private room,11215.0,2.0,1,3,74.0,80.0,16.495890410958904
7351,2009-02-02,Spacious Loft Room in Artist Studio,Brooklyn,loft,90.0,private room,11215.0,2.0,1,0,74.0,94.0,16.495890410958904
7351,2009-02-02,Spacious room in Huge artist Loft,Brooklyn,loft,100.0,private room,11215.0,1.0,1,2,84.0,100.0,16.495890410958904
7338,2009-02-02,East Vil  1br in 2br apt + balcony,Manhattan,apartment,100.0,private room,10009.0,1.0,1,3,125.0,100.0,16.495890410958904
7386,2009-02-03,Quiet Slice of Manhattan,Manhattan,apartment,90.0,entire home/apt,10016.0,1.0,1,42,129.0,92.0,16.493150684931507
7356,2009-02-03,BlissArtsSpace!,Brooklyn,apartment,90.0,private room,11216.0,1.0,1,41,50.0,90.0,16.493150684931507
7356,2009-02-03,Private Bliss Art Space 2,Brooklyn,apartment,90.0,private room,11216.0,1.0,1,52,50.0,93.0,16.493150684931507
7414,2009-02-04,Historic Fort Greene - Red Rooster,Brooklyn,apartment,80.0,entire home/apt,11217.0,3.0,1,15,185.0,82.0,16.49041095890411
7414,2009-02-04,Historic Fort Greene-Deco on Greene,Brooklyn,apartment,85.0,entire home/apt,11217.0,3.0,1,21,185.0,85.0,16.49041095890411
7414,2009-02-04,Skylight on Greene,Brooklyn,apartment,75.0,entire home/apt,11217.0,3.0,1,6,150.0,76.0,16.49041095890411
7498,2009-02-06,Your own studio+patio no roommates,Manhattan,apartment,80.0,entire home/apt,10002.0,1.0,1,1,80.0,80.0,16.484931506849314
7510,2009-02-06,Big Lovely Chelsea Studio! Sleeps 5,Manhattan,apartment,85.0,entire home/apt,10010.0,1.0,1,8,190.0,89.0,16.484931506849314
7510,2009-02-06,Grande Super Large APT !!!,Manhattan,apartment,80.0,entire home/apt,10010.0,3.0,1,10,190.0,80.0,16.484931506849314
